bibtype,title,volume,issn,doi,abstract,number,journal,author,year,keywords,pages,language,month,url,booktitle,address,series,isbn,publisher,editor
Article,A pilot study of the acceptability and usability of a smartphone application intervention for suicidal adolescents and their parents.,21,"1543-6136(Electronic),1381-1118(Print)",10.1080/13811118.2016.1182094,"Interconnectedness through technology presents both challenges and opportunities for suicide prevention and intervention with adolescents and families. The time following discharge from acute care facilities represents a critical period of suicide risk for adolescents, which could be buffered by a technological intervention they could use post-discharge. Crisis Care is a smartphone application intervention developed specifically for suicidal adolescents and their parents to use during this period of increased risk. A web-based prototype of Crisis Care was pilot tested with 20 adolescent-parent dyads. Results demonstrated acceptability and usability, suggesting the utility of technological interventions, such as Crisis Care, as an adjunct to treatment for suicidal adolescents and their parents following discharge from acute care settings. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2,Archives of Suicide Research,Kimberly H. McManama O'Brien and Mary LeCloux and Abigail Ross and Christina Gironda and Elizabeth A. Wharff,2017,"Parents, *At Risk Populations, *Intervention, *Psychiatric Hospital Discharge, *Suicide Prevention, *Telemedicine, Adolescent Characteristics, Adolescent Psychopathology, Cellular Phones, Human Factors Engineering",254--264,NA,NA,NA,NA,NA,NA,NA,NA,NA
Article,Initiation and generalization of self-instructional skills in adolescents with autism and intellectual disability.,46,"1573-3432(Electronic),0162-3257(Print)",10.1007/s10803-015-2654-8,"Self-instruction using videos or other supports on a mobile device is a pivotal skill and can increase independence for individuals with disabilities by decreasing a need for adult supports. This study evaluated the effects of progressive time delay (PTD) to teach four adolescents with autism and intellectual disability how to initiate self-instruction in the presence of a task direction for an untrained task. Participants were screened for imitating video models prior to the study and were taught to navigate to videos on an iPhoneÂ® in history training. A multiple probe design across settings embedded in a multiple probe design across participants was used to evaluate the effects of PTD on initiation of self-instruction. All participants learned to self-instruct. Two participants generalized self-instruction to two novel settings. Two participants required instruction in two settings before generalizing to the third. Three participants generalized self-instruction in the presence of a task direction from the researcher to a task direction from their classroom teacher in all three settings. One participant generalized to a task direction presented by the classroom teacher in one setting, but not in the other two. All participants maintained self-instruction behaviors assessed 1 week after all participants met criteria in all settings. Self-instruction using videos or other supports on a mobile device is a pivotal skill and can increase independence for individuals with disabilities by decreasing a need for adult supports. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",4,Journal of Autism and Developmental Disorders,Katherine A. Smith and Kevin A. Ayres and Jennifer Alexander and Jennifer R. Ledford and Collin Shepley and Sally B. Shepley,2016,"*Autism Spectrum Disorders, *High School Students, *Individualized Instruction, *Intellectual Development Disorder, *Special Education Students, Ability Level, Time Estimation",1196--1209,NA,NA,NA,NA,NA,NA,NA,NA,NA
Article,{GETSmart}: {Guided} education and training via smart phones to promote resilience.,13,1554-8716(Print),NA,"Posttraumatic stress disorder (PTSD) is common in U.S. military service members (SMs) returning from Afghanistan and Iraq. SMs with PTSD symptoms that fall short of meeting full diagnostic criteria also experience devastating effects on their quality of life and daily functioning. Though evidence based treatments are indicated for those meeting diagnostic criteria, less attention has been given to interventions for those with subthreshold symptoms. The advent of novel technologies affords a unique opportunity to meet these intervention needs. Here we describe the feasibility and preliminary findings testing a smartphone-based intervention program to reduce PTSD symptoms in post-deployment SMs. Participants were randomized to a control or intervention condition. Those in the intervention condition engaged in one Skype session and six weeks of daily directive text messages guiding application (app) use. Apps primarily included those developed by the Department of Defense or VA. Participants completed the PTSD Checklist online at baseline, post-intervention, and 3-month follow-up. Overall, participant feedback was positive, regardless of treatment condition. Preliminary findings (with 10\% of the overall target population having enrolled) indicate PCL scores decrease significantly from baseline to post-intervention, and these effects are maintained at 3-month follow-up. Additional analyses will be performed upon completion of the study. The present findings demonstrate the feasibility and acceptability of a smartphone-based resiliency training program for those with subthreshold PTSD. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",NA,Annual Review of CyberTherapy and Telemedicine,Michael J. Roy and Krista B. Highland and Michelle A. Costanzo,2015,"Symptoms, Trauma, *Health Care Psychology, *Military Psychology, *Posttraumatic Stress Disorder, *Quality of Life, *Resilience (Psychological)",123--128,NA,NA,NA,NA,NA,NA,NA,NA,NA
Article,Development and usability testing of {FOCUS}: {A} smartphone system for self-management of schizophrenia.,36,"1559-3126(Electronic),1095-158X(Print)",10.1037/prj0000019,"Objective: Mobile Health (mHealth) approaches can support the rehabilitation of individuals with psychiatric conditions. In the current article, we describe the development of a smartphone illness self-management system for people with schizophrenia. Methods: The research was conducted with consumers and practitioners at a community-based rehabilitation agency. Stage 1: 904 individuals with schizophrenia or schizoaffective disorder completed a survey reporting on their current use of mobile devices and interest in mHealth services. Eight practitioners completed a survey examining their attitudes and expectations from an mHealth intervention, and identified needs and potential obstacles. Stage 2: A multidisciplinary team incorporated consumer and practitioner input and employed design principles for the development of e-resources for people with schizophrenia to produce an mHealth intervention. Stage 3: 12 consumers participated in laboratory usability sessions. They performed tasks involved in operating the new system, and provided â€œthink aloudâ€ commentary and post-session usability ratings. Results: 570 (63\%) of survey respondents reported owning a mobile device and many expressed interest in receiving mHealth services. Most practitioners believed that consumers could learn to use and would benefit from an mHealth intervention. In response, we developed a smartphone system that targets medication adherence, mood regulation, sleep, social functioning, and coping with symptoms. Usability testing revealed several design vulnerabilities, and the system was adapted to address consumer needs and preferences accordingly. Conclusions and Implications for Practice: Through a comprehensive development process, we produced an mHealth illness self-management intervention that is likely to be used successfully, and is ready for deployment and systemic evaluation in real-world conditions. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",4,Psychiatric Rehabilitation Journal,Dror Ben-Zeev and Susan M. Kaiser and Christopher J. Brenner and Mark Begale and Jennifer Duffecy and David C. Mohr,2013,"Health, Mental Disorders, Intervention, Technology, Rehabilitation, *Telemedicine, *Cellular Phones, *Schizophrenia, *Self-Management",289--296,NA,NA,NA,NA,NA,NA,NA,NA,NA
Article,Using mobile health technology to improve behavioral skill implementation through homework in evidence-based parenting intervention for disruptive behavior disorders in youth: study protocol for intervention development and evaluation.,2,2055-5784,NA,"BACKGROUND: Disruptive behavior disorders (DBDs) (oppositional defiant disorder (ODD) and conduct disorder (CD)) are prevalent, costly, and oftentimes chronic psychiatric disorders of childhood. Evidence-based interventions that focus on assisting parents to utilize effective skills to modify children's problematic behaviors are first-line interventions for the treatment of DBDs. Although efficacious, the effects of these interventions are often attenuated by poor implementation of the skills learned during treatment by parents, often referred to as between-session homework. The multiple family group (MFG) model is an evidence-based, skills-based intervention model for the treatment of DBDs in school-age youth residing in urban, socio-economically disadvantaged communities. While data suggest benefits of MFG on DBD behaviors, similar to other skill-based interventions, the effects of MFG are mitigated by the poor homework implementation, despite considerable efforts to support parents in homework implementation. This paper focuses on the study protocol for the development and preliminary evaluation of a theory-based, smartphone mobile health (mHealth) application (My MFG) to support homework implementation by parents participating in MFG.; METHODS/DESIGN: This paper describes a study design proposal that begins with a theoretical model, uses iterative design processes to develop My MFG to support homework implementation in MFG through a series of pilot studies, and a small-scale pilot randomised controlled trial to determine if the intervention can demonstrate change (preliminary efficacy) of My MFG in outpatient mental health settings in socioeconomically disadvantaged communities.; DISCUSSION: This preliminary study aims to understand the implementation of mHealth methods to improve the effectiveness of evidence-based interventions in routine outpatient mental health care settings for youth with disruptive behavior and their families. Developing methods to augment the benefits of evidence-based interventions, such as MFG, where homework implementation is an essential mediator of treatment benefits is critical to full adoption/implementation of these intervention in routine practice settings and maximizing benefits for youth with DBDs and their families.; TRIAL REGISTRATION: ClinicalTrials.gov NCT01917838.",NA,Pilot and feasibility studies,Anil Chacko and Andrew Isham and Andrew F. Cleek and Mary M. McKay,2016,"mHealth, Parenting intervention, Childrens mental health, Disruptive behavior, Homework, Mobile health technology",57,English,NA,NA,NA,NA,NA,NA,NA,NA
Article,{TechCare}: mobile assessment and therapy for psychosis - an intervention for clients in the {Early} {Intervention} {Service}: {A} feasibility study protocol.,4,2050-3121,NA,"OBJECTIVES: Technological advances in healthcare have shown promise when delivering interventions for mental health problems such as psychosis. The aim of this project is to develop a mobile phone intervention for people with psychosis and to conduct a feasibility study of the TechCare App.; METHODS: The TechCare App will assess participant's symptoms and respond with a personalised guided self-help-based psychological intervention with the aim of exploring feasibility and acceptability. The project will recruit 16 service users and 8-10 health professionals from the Lancashire Care NHS Foundation Trust Early Intervention Service.; RESULTS: In strand 1 of the study, we will invite people to discuss their experience of psychosis and give their opinions on the existing evidence-based treatment (cognitive behavioural therapy) and how the mobile app can be developed. In strand 2, we will complete a test run with a small number of participants (n=4) to refine the mobile intervention (TechCare). Finally, in strand 3 of the study, the TechCare App will be examined in a feasibility study with 12 participants.; CONCLUSION: It has been suggested that there is a need for a rapid increase in the efforts to develop the evidence base for the clinical effectiveness of digital technologies, considering mHealth research can potentially be helpful in addressing the demand on mental health services globally.",NA,SAGE open medicine,Nusrat Husain and Nadeem Gire and James Kelly and Joy Duxbury and Mick McKeown and Miv Riley and Christopher Dj Taylor and Peter J. Taylor and Richard Emsley and Saeed Farooq and Neil Caton and Farooq Naeem and David Kingdon and Imran Chaudhry,2016,"mHealth, cognitive behavioural therapy, Early intervention in psychosis, intelligent real-time therapy",2050312116669613,English,NA,NA,NA,NA,NA,NA,NA,NA
Article,Ecological {Momentary} {Assessment} and {Smartphone} {Application} {Intervention} in {Adolescents} with {Substance} {Use} and {Comorbid} {Severe} {Psychiatric} {Disorders}: {Study} {Protocol}.,7,1664-0640,NA,"CONTEXT: Substance use disorders (SUDs) are highly prevalent among inpatient adolescents with psychiatric disorders. In this population, substance use and other psychiatric outcomes can reinforce one another. Despite the need for integrated interventions in youths with dual diagnoses, few specific instruments are available. App-based technologies have shown promising results to help reduce substance use in adolescents, but their applicability in youths with associated severe psychiatric disorders is poorly documented. We aim to evaluate the feasibility of an ecological momentary assessment (EMA) intervention for all substance users, and of a smartphone application for cannabis users (Stop-Cannabis), for outpatient treatment after hospital discharge.; METHODS AND ANALYSIS: All inpatient adolescents with psychiatric disorders hospitalized between 2016 and 2018 in a university hospital will be systematically screened for SUD and, if positive, will be assessed by an independent specialist addiction team. Participants with confirmed SUDs will be invited and helped to download an EMA app and, if required, the Stop-Cannabis app, the week preceding hospital discharge. Information about the acceptability and use of both apps and the validity of EMA data in comparison to clinical assessments will be assessed after 6months and 1year.; DISCUSSION: This research has been designed to raise specific issues for consideration regarding the sequence between substance use, contextual factors, and other psychiatric symptoms among adolescents with comorbid severe psychiatric disorders. A better understanding of the mechanisms involved will inform the development of integrated treatment for dual disorders at that age.; ETHICS AND DISSEMINATION: The study has already been approved and granted. Dissemination will include presentations at international congresses as well as publications in peer-reviewed journals.; TRIAL REGISTRATION: European Clinical Trials Database: Number 2016-001999-30.",NA,Frontiers in psychiatry,Xavier Benarous and Yves Edel and Angele Consoli and Julie Brunelle and Jean-Francois Etter and David Cohen and Yasser Khazaal,2016,"ecological momentary assessment, cannabis addiction, ecological momentary intervention, prevention, adolescents, smartphone app, substance use disorder, mHealth app",157,English,NA,NA,NA,NA,NA,NA,NA,NA
Article,"Feasibility, {Acceptability}, and {Preliminary} {Effectiveness} of a {Peer}-{Delivered} and {Technology} {Supported} {Self}-{Management} {Intervention} for {Older} {Adults} with {Serious} {Mental} {Illness}.",NA,1573-6709,10.1007/s11126-017-9534-7,"To assess the feasibility, acceptability, and preliminary effectiveness of a peer-delivered and technology supported integrated medical and psychiatric self-management intervention for older adults with serious mental illness. Ten older adults with serious mental illness (i.e., schizophrenia, schizoaffective disorder, bipolar disorder, or major depressive disorder) and medical comorbidity (i.e., cardiovascular disease, obesity, diabetes, chronic obstructive pulmonary disease, hypertension, and/or high cholesterol) aged 60years and older received the PeerTECH intervention in their homes. Three certified peer specialists were trained to deliver PeerTECH. Data were collected at baseline, one-month, and three-month. The pilot study demonstrated that a three-month, peer-delivered and technology-supported integrated medical and psychiatric self-management intervention ({""}PeerTECH{""}) was experienced by peer specialists and participants as feasible and acceptable. PeerTECH was associated with statistically significant improvements in psychiatric self-management. In addition, pre/post, non-statistically significant improvements were observed in self-efficacy for managing chronic health conditions, hope, quality of life, medical self-management skills, and empowerment. This pre/post pilot study demonstrated it is possible to train peers to use technology to deliver an integrated psychiatric and medical self-management intervention in a home-based setting to older adults with serious mental illness with fidelity. These findings provide preliminary evidence that a peer-delivered and technology-supported intervention designed to improve medical and psychiatric self-management is feasible, acceptable, and is potentially associated with improvements in psychiatric self-management, self-efficacy for managing chronic health conditions, hope, quality of life, medical self-management skills, and empowerment with older adults with serious mental illness and chronic health conditions.",NA,The Psychiatric quarterly,Karen L. Fortuna and Peter R. DiMilia and Matthew C. Lohman and Martha L. Bruce and Cynthia D. Zubritsky and Mitch R. Halaby and Robert M. Walker and Jessica M. Brooks and Stephen J. Bartels,2017,"mHealth, Serious mental illness, Peers",NA,English,sep,NA,NA,NA,NA,NA,NA,NA
Article,Usability of a {Culturally} {Informed} {mHealth} {Intervention} for {Symptoms} of {Anxiety} and {Depression}: {Feedback} {From} {Young} {Sexual} {Minority} {Men}.,4,2292-9495,10.2196/humanfactors.7392,"BACKGROUND: To date, we are aware of no interventions for anxiety and depression developed as mobile phone apps and tailored to young sexual minority men, a group especially at risk of anxiety and depression. We developed TODAY!, a culturally informed mobile phone intervention for young men who are attracted to men and who have clinically significant symptoms of anxiety or depression. The core of the intervention consists of daily psychoeducation informed by transdiagnostic cognitive behavioral therapy (CBT) and a set of tools to facilitate putting these concepts into action, with regular mood ratings that result in tailored feedback (eg, tips for current distress and visualizations of mood by context).; OBJECTIVE: The aim of this study was to conduct usability testing to understand how young sexual minority men interact with the app, to inform later stages of intervention development.; METHODS: Participants (n=9) were young sexual minority men aged 18-20 years (Mean=19.00, standard deviation [SD]=0.71; 44\% black, 44\% white, and 11.1\% Latino), who endorsed at least mild depression and anxiety symptoms. Participants were recruited via flyers, emails to college lesbian, gay, bisexual, and transgender (LGBT) organizations, Web-based advertisements, another researcher's database of sexual minority youth interested in research participation, and word of mouth. During recorded interviews, participants were asked to think out loud while interacting with the TODAY! app on a mobile phone or with paper prototypes. Feedback identified from these recordings and from associated field notes were subjected to thematic analysis using a general inductive approach. To aid interpretation of results, methods and results are reported according to the consolidated criteria for reporting qualitative research (COREQ).; RESULTS: Thematic analysis of usability feedback revealed a theme of general positive feedback, as well as six recurring themes that informed continued development: (1) functionality (eg, highlight new material when available), (2) personalization (eg, more tailored feedback), (3) presentation (eg, keep content brief), (4) aesthetics (eg, use brighter colors), (5) LGBT or youth content (eg, add content about coming out), and (6) barriers to use (eg, perceiving psychoeducation as homework).; CONCLUSIONS: Feedback from usability testing was vital to understanding what young sexual minority men desire from a mobile phone intervention for symptoms of anxiety and depression and was used to inform the ongoing development of such an intervention.",3,JMIR human factors,John B. Fleming and Yvette N. Hill and Michelle Nicole Burns,2017,"depression, male, anxiety, mHealth, eHealth, adolescents, homosexuality",e22,English,aug,NA,NA,NA,NA,NA,NA,NA
Article,Exploring {User} {Learnability} and {Learning} {Performance} in an {App} for {Depression}: {Usability} {Study}.,4,2292-9495,10.2196/humanfactors.7951,"BACKGROUND: Mental health apps tend to be narrow in their functioning, with their focus mostly being on tracking, management, or psychoeducation. It is unclear what capability such apps have to facilitate a change in users, particularly in terms of learning key constructs relating to behavioral interventions. Thought Challenger (CBITs, Chicago) is a skill-building app that engages users in cognitive restructuring, a core component of cognitive therapy (CT) for depression.; OBJECTIVE: The purpose of this study was to evaluate the learnability and learning performance of users following initial use of Thought Challenger.; METHODS: Twenty adults completed in-lab usability testing of Thought Challenger, which comprised two interactions with the app. Learnability was measured via completion times, error rates, and psychologist ratings of user entries in the app; learning performance was measured via a test of CT knowledge and skills. Nonparametric tests were conducted to evaluate the difference between individuals with no or mild depression to those with moderate to severe depression, as well as differences in completion times and pre- and posttests.; RESULTS: Across the two interactions, the majority of completion times were found to be acceptable (5 min or less), with minimal errors (1.2\%, 10/840) and successful completion of CT thought records. Furthermore, CT knowledge and skills significantly improved after the initial use of Thought Challenger (P=.009).; CONCLUSIONS: The learning objectives for Thought Challenger during initial uses were successfully met in an evaluation with likely end users. The findings therefore suggest that apps are capable of providing users with opportunities for learning of intervention skills.",3,JMIR human factors,Colleen Stiles-Shields and Enid Montague and Emily G. Lattie and Stephen M. Schueller and Mary J. Kwasny and David C. Mohr,2017,"depression, learning, cognitive therapy, apps, usability testing",e18,English,aug,NA,NA,NA,NA,NA,NA,NA
